Loss,ValLoss
1.1128,0.9181
0.8224,0.7445
0.6045,0.5619
0.3985,0.3807
0.2547,0.2681
0.1709,0.2172
0.1192,0.1584
0.0979,0.1324
0.0834,0.1233
0.0677,0.1116
0.0647,0.1235
0.0555,0.1016
0.0619,0.0824
0.0481,0.0825
0.0436,0.0907
0.0554,0.1229
0.0438,0.0800
0.0415,0.0616
0.0443,0.0508
0.0391,0.0675
0.0441,0.0805
0.0377,0.0320
0.0341,0.0415
0.0422,0.0509
0.0455,0.0947
0.0373,0.0486
0.0528,0.0380
0.0358,0.0313
0.0393,0.0315
0.0425,0.0637
0.0398,0.0368
0.0369,0.0331
0.0296,0.0451
0.0285,0.0283
0.0265,0.1041
0.0353,0.0333
0.0335,0.0315
0.0376,0.1279
0.0271,0.0323
0.0372,0.0464
0.0260,0.0272
0.0427,0.0411
0.0251,0.0266
0.0341,0.0896
0.0426,0.0765
0.0401,0.0403
0.0376,0.0282
0.0304,0.0551
0.0306,0.0598
0.0273,0.0277
0.0275,0.0367
0.0250,0.0282
0.0231,0.0259
0.0212,0.0329
0.0202,0.0318
0.0185,0.0254
0.0192,0.0292
0.0177,0.0688
0.0183,0.0251
0.0168,0.0273
0.0164,0.0392
0.0166,0.0300
0.0146,0.0278
0.0150,0.0262
0.0150,0.0311
0.0140,0.0304
0.0128,0.0292
0.0146,0.0234
0.0128,0.0308
0.0140,0.0300
0.0130,0.0295
0.0127,0.0293
0.0121,0.0243
0.0116,0.0313
0.0139,0.0334
0.0129,0.0174
0.0146,0.0240
0.0148,0.0167
0.0121,0.0272
0.0123,0.0141
0.0117,0.0146
0.0112,0.0498
0.0116,0.0147
0.0111,0.0381
0.0112,0.0156
0.0142,0.0165
0.0114,0.0433
0.0109,0.0179
0.0111,0.0121
0.0100,0.0150
0.0116,0.0812
0.0108,0.0187
0.0112,0.0521
0.0112,0.0131
0.0119,0.0171
0.0112,0.0175
0.0111,0.0121
0.0107,0.0142
0.0120,0.0420
0.0109,0.0172
0.0119,0.0139
0.0113,0.0434
0.0113,0.0344
0.0117,0.0114
0.0110,0.0170
